,date,title,press,contents,link
18,2023.03.31.,"서강대, 엠블럭과 디지털 학생지갑 보급 업무협약",뉴시스,"심종혁 총장은 ""이제 시작 단계인 웹3.0 기술을 서강대에서 개발해 대학과 교육에 널리 활용되기를 희망한다""며 ""협약을 통해 디지털 지갑이 활성화되는 웹3.0 생태계를 함께 만들어 나가기 위해 노력하겠다""고 했다.",http://www.newsis.com/view/?id=NISX20230331_0002248588&cID=10201&pID=10200
19,2023.04.10.,입학과 동시에 취업 걱정 ‘뚝’ 장학금은 ‘덤’,한겨레,"이들 대학의 업무 협약 기업체는 고려대(서울), 서강대, 한양대가 SK하이닉스이고, 나머지 대학은 모두 삼성전자다. 졸업 후 SK하이닉스나 삼성전자로의 취업이 보장된다는 것을 의미한다. 이와 별개로 고려대(서울)는...",https://www.hani.co.kr/arti/society/schooling/1087280.html
20,2023.04.08.,"'놀면' 유재석 ""유병재=브레인, 공부 잘해서 서강대 갔다""",OSEN,"유재석이 유병재가 서강대 출신이라며 브레인이라고 치켜세웠다. 8일 오후 방송된 MBC 예능 '놀면뭐하니?... 공부를 잘해서 서강대""라고 했다. 유병재는 ""나오진(졸업) 못하고 입학만 했다""며 신문방송학과에...",http://www.osen.co.kr/article/G1112078796
21,2023.03.29.,서강대 '2023년 정책자금 자금조달 위크 상담회' 성료,뉴시스,"기사내용 요약 서울신용보증재단, 하나은행, 중소벤처기업진흥공단, 신용보증기금 4개 기관 참여 허서우 인턴 기자 = 서강대 창업지원단은 지난 14일부터 4일간 '2023년 정책자금 자금조달 Week 상담회'를 진행했다고 29일...",http://www.newsis.com/view/?id=NISX20230329_0002244992&cID=10201&pID=10200
22,2023.04.17.,"고3 현역 합격문 넓어지나… 올해 수시 교과, 최저 완화 추세·고교당 추천 가...",매일신문,"(의과대학 제외)'로 변경함으로써 인문계열의 기준을 완화했다. 서강대도 전년도 '국, 수, 영, 탐(1과목) 중 3개 영역 등급 합 6 이내'에서 올해 '국, 수, 영, 탐(1과목) 중 3개 과목 각 3등급 이내'로 기준을 좀 더 풀어줬다....",https://news.imaeil.com/page/view/2023041223325656946
23,2023.03.27.,서강대 '마포구 중장년 기술창업센터' 신규 입주기업 모집,뉴시스,기사내용 요약 만 40세 이상 중장년 예비창업자를 위한 공간 및 창업지원서비스 지원 허서우 인턴 기자 = 서강대 창업지원단은 창업진흥원·마포구청과 공동 운영하는 '마포구 중장년 기술창업센터'에서 2023년 1차 신규...,http://www.newsis.com/view/?id=NISX20230327_0002241657&cID=10201&pID=10200
24,2023.04.02.,"""산으로 가는 규제개혁 시리즈 통쾌…더 집요하게 다뤄달라""",한국경제언론사 선정,박병원 한경 독자위원회 위원장(안민정책포럼 이사장) 주재로 신관호(고려대 경제학과 교수)·정영진(인하대 법학전문대학원 원장)·김도영(서강대 경제학부 교수)·박종민(경희대 미디어학과 교수)·김우경(SK이노베이션...,https://www.hankyung.com/economy/article/2023040200751
25,2023.04.02.,"엠블럭, 서강대와 웹3.0 디지털 지갑 확산 MOU 체결",전자신문,"엠블럭은 웹3.0 디지털 학생 지갑 서비스의 보급 및 학생들의 만족도 향상을 위한 지속적인 기능 개선에 힘쓰며, 서강대는 교내 대학생, 교직원을 대상으로 해당 서비스 보급을 위한 관련 행정 절차, 홍보 등에 노력을...",https://www.etnews.com/20230331000130
26,2023.04.10.,"서강대 게임&평생교육원, 디지털자산 최고전문가 과정 2기생 모집",IT조선,"김형주 한국NFT콘텐츠협회 이사장, 과학기술정보통신부 차관을 지낸 조경식 서강대 기술경영전문대학원 교수, 류재명 대통령직속 디지털플랫폼정부위원회 단장, 오문성 한국조세정책학회 회장, 박효진 세종텔레콤...",https://it.chosun.com/site/data/html_dir/2023/04/10/2023041001134.html
27,2023.04.04.,서강대 2024 고교방문 설명회.. 5월~7월,베리타스알파,"서강대는 2024학년 수시 994명(57.9%), 정시 691명(40.3%) 총 1685명을 모집한다. 수시는 지역균형 172명 학종 일반 532명 학종(기회균형)85명 학종(서강가치)36명 논술 169명을 모집한다. 주요 변화로는 교과와 논술의...",http://www.veritas-a.com/news/articleView.html?idxno=452050
28,2023.03.30.,"서강대 레메디아, '미디어리터러시 프로그램' 지원사업 선정",뉴스1,서강대학교는 지식융합미디어대학 SSK연구단 레메디아가 2023년 한국언론진흥재단 대학·지역사회 연계 미디어리터러시 프로그램 지원사업에 선정됐다고 30일 밝혔다. 미디어리터러시란 미디어를 올바르게 이해하고...,https://www.news1.kr/articles/4998895
29,2023.04.09.,"[한성일이 만난 사람]원우현 교수, 김정수 신부",중도일보,"서울가톨릭대학교 철학과, 서울가톨릭대학교 신학부 졸업. 서강대 신문방송대학원 졸업.1974년 사제 서품(대전대흥동성당). 프랑스 리용 가톨릭대학교 대학원 영성신학 수료. 프랑스 파리 가톨릭대학교 대학원...",http://www.joongdo.co.kr/web/view.php?key=20230409010005890
30,2023.03.31.,발언하는 조영호 서강대 교수,뉴스핌,= 조영호 서강대 정치외교학과 교수가 31일 오전 서울 종로구 경실련 강당에서 열린 선거제도 개혁 촉구 정치학자법학자 50인 선언식에서 발언하고 있다. 2023.03.31,http://www.newspim.com/news/view/20230331000546
31,2023.03.30.,[Who Is ?] 서승환 연세대학교 총장,비즈니스포스트,"카이스트, 포스텍, 서강대학교, 차의과학대학교 등 30여개 대학이 온라인 공동강의 네크워크에 참여하고 있다. 특히 런어스는 2023년 참여대학을 50여개교로 늘리고 해외대학으로 공동강의를 확대해 에드엑스(EdX)...",https://www.businesspost.co.kr/BP?command=article_view&num=310662
32,7일 전,"인하대학교 김민구 교수 연구팀, 한국 MEMS 학술대회서 우수 논문상·우수 구...",한국강사신문,"남창주 서강대 교수, 박병선 정보통신공학과 학생, 임성민 정보통신공학과 학생, 양지석 전기컴퓨터공학과 학생, 이상민 전기컴퓨터공학과 학생 [사진출처=인하대학교] 인하대학교(총장 조명우)는 김민구...",https://www.lecturernews.com/news/articleView.html?idxno=124056
33,2023.04.11.,"[브랜드평판] 대학교 2023년 4월 빅데이터 분석결과...1위 연세대학교, 2위 고...",CBC뉴스,"제주대학교, 서강대학교, 청주대학교, 백석대학교, 인제대학교, 순천향대학교, 공주대학교, 원광대학교, 대전대학교, 한국교통대학교, 경상국립대학교, 강남대학교, 숭실대학교, 상명대학교, 부경대학교...",https://www.cbci.co.kr/news/articleView.html?idxno=439695
34,2023.03.30.,"서강대 메타버스전문대학원 가상자산연구소, 첫 정기 세미나 개최",ZDNet Korea언론사 선정,서강대학교 메타버스전문대학원은 29일 가브리엘관에서 ‘메타버스전문대학원 가상자산연구소 제1회 정기 세미나’를 개최했다. 이날 세미나에는 서강대학교 현대원 교수와 법무법인 세종의 김우균 파트너변호사...,https://zdnet.co.kr/view/?no=20230330114159
35,2023.04.11.,"서강대, 하반기 일반대학원 부동산학 석·박사 신입생 모집",IT조선,"서강대는 일반대학원 부동산학 석사과정, 박사과정, 석·박사 통합과정 신입생을 모집한다고 11일 밝혔다. 원서접수는 4월 26일부터 5월 3일까지다. 2차 전형은 5월 30일부터 6월 7일까지 진행된다. 전형은 서류 심사와 구술...",https://it.chosun.com/site/data/html_dir/2023/04/11/2023041102053.html
36,2023.03.29.,"위믹스재단, 'WAIT 프로토콜 투자심의위원회' 외부전문가 선임",서울와이어,어바인대학교 총장 ▲현대원 서강대 메타버스 대학원장까지 총 5인으로 구성됐다. 사진=위믹스 재단 제공 위믹스 재단이 29일 위믹스 투자와 마케팅 활동의 투명성 강화를 위한 'WAIT(Wemix Approves Investment Transparently)...,http://www.seoulwire.com/news/articleView.html?idxno=497570
37,2023.04.06.,[김동률의 아포리즘] 인류의 행진은 멈추지 않는다/서강대 교수(매체경영),서울신문,"믿어지지 않겠지만 엄연히 사실인 이야기가 있다. 2차 세계대전이 끝나고 몇 년간 태평양의 작은 섬 타나에 공군 기지를 닮은 몇몇 시설이 세워졌다. 비행기와 활주로, 감시탑이 등장했다. 심지어 구내식당까지 있었다....",https://www.seoul.co.kr/news/newsView.php?id=20230406027007&wlog_tag3=naver
38,2023.04.07.,한국·인도네시아 수교 50주년...'이보다 더 좋을 수 없다',교수신문,기념하며 서강대 동아연구소는 네 차례에 걸친 인도네시아 정치·외교 강연 시리즈를 기획했다. &lt;교수신문&gt;은 이 강연 시리즈의 내용을 간단히 요약하여 소개한다. 지난달 31일 열린 첫 강연은 신윤환 서강대 명예교수...,http://www.kyosu.net/news/articleView.html?idxno=103264
39,2023.04.11.,"서강대학교 미디어커뮤니케이션대학원, 5월2일부터 2주간 2023년 후기 석사과...",베타뉴스,"또한, 대학원은 서강대가 보유한 커뮤니케이션센터와 지식융합미디어대학 및 메타버스전문대학원 등의 시설들을 활용해 확장되고 있는 뉴미디어 생태계를 기회로 삼고자 한다고 밝혔다.",http://www.betanews.net:8080/article/1405540.html
40,2023.03.31.,닻올린 전원위…김영주 “선거개혁으로 국민 신뢰 회복할 것” [쿡정치 포토],쿠키뉴스,"조영호 서강대 정치외교학과 교수, 정성은 건국대 정치외교학과 교수. 사진=최은희 기자... 조영호 서강대 정치외교학과 교수, 정성은 건국대 정치외교학과 교수. 사진=최은희 기자 왼쪽부터 서휘원 경실련...",http://www.kukinews.com/newsView/kuk202303310053
41,2023.04.06.,"핀테크지원센터-서강대 LINC사업단, 핀테크 글로벌 인재 양성 업무협약 체결",보안뉴스,"한국핀테크지원센터는 서강대 LINC사업단과 핀테크 산업 분야 글로벌 인재 발굴과 양성 및 글로벌 창업... ‘LINC사업’은 산학연 협력 선도대학 육성 사업(Leaders in INdustry-university Cooperation)을 의미하며, ‘산학연 협력...",http://www.boannews.com/media/view.asp?idx=116868&kind=
42,2023.03.31.,"정치학자·법학자 51인 ""유권자 의사 반영하는 제도 도입하라""",오마이뉴스,행정대학원 박상인 서강대 정치외교학과 조영호 충남대 정치외교학과 박영득 성균관대 정치외교학과 조원빈 서울대학교 정치외교학과 박원호 전남대 사회학과 조재호 국제평화전략연구원 박호성 덕성여대 정치외교학과...,https://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0002915079&CMPT_CD=P0010&utm_source=naver&utm_medium=newsearch&utm_campaign=naver_news
43,2023.03.27.,"서강SLP, 제3세계 교육 소외지역 어린이를 위한 기부금 전달",에듀동아,"학교법인 서강대학교에서 운영하는 서강교육그룹의 영어교육 전문기관 SLP(Sogang Language Program.)는 인성교육 프로그램 ‘Share &amp; Grow’ 캠페인을 통해 지난 1년간 모금한 성금 총 1,450여만원을 튀르키예-시리아 지진 피해...",http://edu.donga.com/?p=article&ps=view&at_no=20230324111856250364
44,2023.04.03.,[강희정의 아시아의 美] 청백의 조화가 주는 여유/서강대 동아연구소 교수,서울신문,"꽃도 기후변화에 흔들린다. 평년보다 기온이 높은 탓에 꽃 소식도 앞당겨졌다. 매화 지나간 지 이미 오래고, 남쪽에서는 벌써 벚꽃이 지고 있다 한다. 서울에도 개나리가 만개했고, 볕이 좋은 곳엔 진달래도 피었다. 봄의...",https://www.seoul.co.kr/news/newsView.php?id=20230403026003&wlog_tag3=naver
45,2023.03.27.,2024 반도체 계약학과 10개교 510명 체제.. '삼성전자 신설 3개교' 지스트 30...,베리타스알파,(고대 서강대 한대)와 협약을 통해 운영한다. 특히 삼성전자가 2029년부터 7개교 450명까지 인재 양성을 확대할 것이라 밝히며 대학별 모집인원 역시 순차적으로 확대될 것으로 보인다. 국내 최초의 계약학과는...,http://www.veritas-a.com/news/articleView.html?idxno=451192
46,2023.04.12.,[더벨][이사회 분석]김형일 기은 전무 이사회 입성…사외이사 선임 완료,더벨,"1950년생인 이 이사는 서울대 경제학과를 졸업해 윌리엄스대에서 개발경제학과 석사, 서강대 대학원 경영학과 박사 학위를 받았다. 1973년 제14회 행정고시에 합격해 공직에 몸담은 그는 주로 재정경제부에서 심의관으로...",https://www.thebell.co.kr/free/content/ArticleView.asp?key=202304111336271560105769
47,2023.04.01.,[입시톡톡] 2024학년도 주요대학 수시모집 달라지는 입시 포인트 ④서강대,한국대학신문,"최승후 대화고 교사 서강대는 학생부종합전형인 '학생부종합(일반)전형'에서 전년도보다 42명 감소한... 서강대에서 발표한 2023학년도 학생부종합전형 경쟁률을 살펴보면, 일반전형은 최초 경쟁률이 14.55대...",https://news.unn.net/news/articleView.html?idxno=544295
48,2023.03.27.,"[이훈복의 입시가이드] 2024학년도 수시 모집, 대학별 변경 사항 챙기는 것부...",조선에듀,"(의과대학 제외)’로 변경했고, 서강대는 ‘국어?수학?영어?탐구(1과목) 중 3개 영역 등급 합 6 이내’에서 ‘국어?수학?영어?탐구(1과목) 중 3개 과목 각 3등급 이내’로 수능 최저학력기준이 낮아졌다. 성균관대는...",https://edu.chosun.com/site/data/html_dir/2023/03/27/2023032701019.html
49,2023.04.07.,"이상근 서강대 교수 ""향후 가상자산 거래소 토큰증권 중개불가...증권사 비교...",토큰포스트,"이상근 서강대 경영학과 교수는 7일 국회의원회관 제1세미나실에서 열린 '토큰증권, 미래에 가져올 변화는?' 토론회에서 이같이 내다봤다. 사진 = 이상근 서강대 경영학과 교수가 'STO가 가져올 미래 금융환경의 변화는?'을...",https://www.tokenpost.kr/article-128621
50,2023.03.28.,"서강대, 보건의료분야 역량 강화에 나선다",대학저널,"그동안 서강대는 의과대학 부재로 인해 의료 관련 교육과 연구 확산의 한계가 있었다. 이에 따라 서강대는 보건의료 기획위원회를 구성해 국내외 의료기관과 협력을 추진하고 있었으며, 그 활동의 일환으로 이같은...",http://dhnews.co.kr/news/view/1065579870209781
51,2023.04.03.,"코드프레소, 인도네시아 사나타다르마대학교와 공동 세미나 개최",아이티비즈,"사나타다르마대학교는 인도네시아 예수회가 운영하는 지역 대표 사립대학이다. 지난 1955년 개교 이후... 국민대학교, 서강대학교 등 다수의 정부기관 및 대학교 등에 교육을 진행하였으며, 현재까지 약 2만여 명...",http://www.it-b.co.kr/news/articleView.html?idxno=67098
52,2023.03.28.,"서강대, 마포구 중장년 기술창업센터 신규 업주기업 모집",대학저널,"서강대학교 창업지원단과 창업진흥원, 마포구가 공동 운영하는 마포구 중장년 기술창업센터는 2023년 1차 신규 입주기업을 오는 4월 10일까지 모집한다고 27일 밝혔다. 만 40세 이상의 예비(기술)창업자라면 누구나...",http://dhnews.co.kr/news/view/1065577475608123
53,2023.04.04.,"이상복 서강대 법학전문대학원 교수, 실무 반영한 '신용협동조합법' 출간",팍스경제TV,"미국 스탠퍼드 로스쿨 방문학자, 숭실대학교 법과대학 교수를 거쳐 서강대학교에 자리 잡았습니다. 서강대학교 금융법센터장, 서강대학교 법학부 학장 및 법학전문대학원 원장을 역임하고 재정경제부...",http://www.paxetv.com/news/articleView.html?idxno=172507
54,2023.03.29.,"[초거대 AI 포럼] 박수용 서강대 교수 ""데이터 주인인 이용자 소외...AI+웹 3...",아주경제,com 박수용 서강대학교 컴퓨터공학과 교수가 29일 오후 서울 영등포구 여의도 글래드호텔에서 열린 '2023... 박 교수는 제자들과 함께 대학에서부터 AI와 웹 3.0을 연결하는 실험을 시작할 계획이다. 학부생이 4년에 걸쳐...,https://www.ajunews.com/view/20230329203557360
55,18시간 전,이우현 OCI홀딩스 회장 취임…3세 경영 본격화,한경비즈니스언론사 선정,"서강대 화학공학과를 나와 미국 펜실베이니아대 와튼스쿨에서 금융·마케팅 분야 경영학 석사학위를 취득했다. 2005년 OCI에 합류해 전략기획본부, 사업총괄부사장(CMO), 사장 등 요직을 거쳐 2019년 3월 OCI 부회장에...",https://magazine.hankyung.com/business/article/202304251415b
56,2023.04.04.,"[에듀플러스 이공계 기획]<1>대기업 연계 반도체 계약학과, 정원 급증…합격점...",전자신문,"작년에 신설된 3개 대학 수시모집 평균 경쟁률은 15.9대 1이다. 서강대 시스템반도체공학과 37.5대 1, 한양대 반도체공학과 12.4대 1, 포스텍 반도체공학과 7.2대 1로 나타났다. 이는 설치 대학이 늘면서 지원자가...",https://www.etnews.com/20230404000037
57,3시간 전,"[ESG어워드 심사평] ""ESG 경영 중요성 날로 커져… 기업가치 핵심 요소로 부상...",머니S언론사 선정,정유신 서강대 기술경영대학원장 겸 디지털경제금융연구원장 기업의 ESG(환경·사회책임·지배구조) 경영이 거스를 수 없는 핵심 아젠다로 떠올랐다. 국내 금융회사는 전세계 국가들이 약속한 '2050 탄소중립' 목표를...,http://moneys.mt.co.kr/news/mwView.php?no=2023042116151858457
58,2023.04.09.,2023 일산파주지역 대입 수시 합격자 인터뷰 - 고려대학교 보건정책관리학부 ...,내일신문,"“수험생활은 자기 자신을 위한 시간, 후회 남지 않도록 보내길” 일산파주 내일신문은 2023학년도 대학입시... 중앙대학교 공공인재학부(학교추천), 서강대학교 지식융합미디어학부(학교추천)에 지원했고, 이중 고려대...",http://www.naeil.com/news_view/?id_art=457047
59,18시간 전,"OCI 이우현 부회장, 신설 OCI홀딩스 회장 선임",머니투데이,이 신임 회장은 1992년 서강대 화학공학과를 졸업한 뒤 미국 펜실베이니아 대학교 와튼스쿨에서 MBA를 수료했다. 2001년까지 크레디트스위스퍼스트보스톤(CSFB)에서 근무했다. CSFB홍콩 사장직을 지낸 그는 2005년 OCI...,http://news.mt.co.kr/mtview.php?no=2023042513204132154
60,2023.03.29.,"서강대, 미국 에모리대·조지아공대와 ‘바이오의공학’ MOU",가톨릭평화방송·평화신문,서강대 산학협력단은 3월 21일 미국 에모리대학ㆍ조지아공과대학과 바이오의공학 분야 공동연구 및 교육을 위한 양해각서를 체결했다. 이번 삼자 간 협약을 통해 바이오의공학분야 연구와 교육과정을 획기적으로...,https://news.cpbc.co.kr/article/849436?division=NAVER
61,1시간 전,"[단독] JMS 정명석…대학도서관들, ‘성폭력 교주’ 시집·수기 버젓이",한겨레언론사 선정,"가 서울 10개 대학(경희·고려·서강·서울·성균관·시립·연세·중앙·한국외·한양대) 도서관의 소장도서... 서강대는 정명석의 책 6종을, 서울대와 시립대는 &lt;사랑과 평화다&gt; 1종을 비치하고 있었다. 동덕·덕성·서울...",https://www.hani.co.kr/arti/culture/book/1089399.html
62,2023.03.28.,[2024 3월학평] 수학 1등급 미적+기하 99.3% '싹쓸이'.. 극단적 '수학 한 줄 ...,베리타스알파,"다만, 고대 성대 서강대 홍익대 등 일부 대학이 수능최저를 완화하면서 전년 대비 수능최저 충족률이 소폭 상승한 결과로 이어질 것이란 분석이다. 연구회 관계자는 ""표점이 낮게 산출되면서 등급이 낮아진 화작...",http://www.veritas-a.com/news/articleView.html?idxno=451315
63,2023.03.22.,서강대 보건의료분야 국제협력 통해 바이오공학 연구/교육역량 강화,베리타스알파,"협약을 위해 서강대에 방문한 에모리대학-조지아 공대의 조한중 교수는 ""서강대의 바이오의공학에 대한 적극적인 관심에 지난 20년간 바이오의공학과를 운영하면서 얻은 학과 커리큘럼과 교원 파견 및 국제공동연구를...",http://www.veritas-a.com/news/articleView.html?idxno=450673
64,2023.03.20.,포스텍/서강대 공동연구팀 층상 전하 고분자 통한 안정한 고용량 음극활물질 ...,베리타스알파,최근 포스텍과 서강대 공동연구팀이 지금보다 10배 이상의 용량을 내는 실리콘 음극활물질을 개발했다. 포스텍은 화학과 박수진 교수/신소재공학과 김연수 교수 연구팀이 서강대 화공생명공학과 류재건 교수 연구팀과...,http://www.veritas-a.com/news/articleView.html?idxno=450408
65,20시간 전,"윤석열 외교참사의 배경, '문재인 콤플렉스'",오마이뉴스언론사 선정,"박호성 서강대 정치학과 명예교수 무식하면서도 특히 부지런하고 소신이 뚜렷하고 남의 말을 잘 듣지 않는 사람이 있다면, 그런 인물은 매사에 위험하다. 정치인이라면 더 말할 나위도 없다. 현 정부에는 윤 대통령을...",https://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0002921991&CMPT_CD=P0010&utm_source=naver&utm_medium=newsearch&utm_campaign=naver_news
66,2023.03.14.,현대건설 서강대 메타버스전문대학원에 NFT판매 수익금 전액 기부,베리타스알파,현대건설은 창립75주년 기념으로 한정 발행한 NFT의 판매 수익금 전액을 13일 서강대 메타버스대학원에 기부했다. 기부한 금액(총 31만3000클레이)은 메타버스 연구 지원 및 인력 양성을 위해 사용될 예정이다. 기부에 앞서...,http://www.veritas-a.com/news/articleView.html?idxno=449873
