,date,title,press,contents,link
890,2023.03.22.,"오뚜기, '오키친스튜디오' 오픈 1주년...""신청자 4000명 돌파""",아시아에이,오뚜기는 쿠킹 경험 공간 '오키친스튜디오'가 오픈 1주년을 맞았다고 22일 밝혔다. 지난해 오뚜기는 재미와 경험을 중시하는 소비 트렌드에 주목해 다양한 온·오프라인 쿠킹 클래스를 즐길 수 있는 오키친스튜디오를...,http://www.asiaa.co.kr/news/articleView.html?idxno=118967
891,2023.03.22.,"오뚜기프렌즈, 장애인 근로자 20명 전원 정규직 채용",세계일보,오뚜기가 자회사형 장애인 표준사업장 ‘오뚜기프렌즈’ 직원 20명을 전원 정규직으로 채용했다고 21일 밝혔다. 오뚜기는 2021년 11월 장애인의 일할 권리 보장 및 고용 확대를 위해 한국장애인고용공단과 협약을 맺고...,http://www.segye.com/content/html/2023/03/21/20230321511300.html?OutUrl=naver
892,2023.03.22.,'매출 3조 클럽' 오뚜기… 함영준 회장 지난해 연봉은,머니S언론사 선정,오뚜기가 지난해 처음으로 연매출 '3조 클럽'에 입성한 가운데 함영준 오뚜기 회장이 지난해 약 9억원의 연봉을 수령했다. 21일 금융감독원 전자공시시스템에 따르면 오뚜기의 작년 매출은 3조1833억원으로...,http://moneys.mt.co.kr/news/mwView.php?no=2023032116352230191
893,2023.03.22.,[코스피·코스닥 21일 주요 공시] 오뚜기 지난해 매출 3조 넘어…창립 53년만...,베타뉴스,▲오뚜기가 연 매출 3조원을 넘었다. 연 매출이 3조원을 넘은 것은 1969년 오뚜기 창립 53년 만에 처음이다. 21일 금융감독원 전자공시시스템에 따르면 오뚜기의 작년 매출은 전년보다 16.2% 늘어난...,http://www.betanews.net:8080/article/1400073.html
894,2023.03.21.,"오뚜기 자회사, 장애인 근로자 20명 전원 정규직 채용",조선비즈,"오뚜기가 자회사형 장애인 표준사업장 ‘오뚜기프렌즈’ 직원 20명을 전원 정규직으로 채용했다고 21일 밝혔다. 오뚜기프렌즈는 지난 2021년 11월 장애인의 일할 권리 보장, 고용 확대를 위해 오뚜기가...",https://biz.chosun.com/distribution/food/2023/03/21/LNBKQ2AGQZES7CLVY7KOCLCKTY/?utm_source=naver&utm_medium=original&utm_campaign=biz
895,2023.03.21.,오뚜기 종자·묘목 사업 진출 '기대반 우려반',한국농어민신문,"식품기업 오뚜기가 종자 묘목 사업 진출을 공식화하자 이를 두고 종자업계의 시각이 엇갈린다. 이른바 '식품... 오뚜기는 지난 14일 '주주총회 소집공고' 공시에서 ""오는 29일 열리는 제52기 정기주주총회에서 정관 변경을...",http://www.agrinet.co.kr/news/articleView.html?idxno=316853
896,2023.03.21.,"'조흥·오뚜기라면 편입 효과' 오뚜기, 염가매수차익 1277억 발생",아시아투데이,오뚜기가 조흥·오뚜기라면 편입 효과로 염가매수차익이 1000억원대에 이른 것으로 나타났다.염가매수차익은 기업인수시 인수대가보다 피인수법인 순자산 공정가치 중 지분율 해당금액이 클 경우 발생한다....,https://www.asiatoday.co.kr/view.php?key=20230321010011799
897,2023.03.21.,첫 3조 오뚜기 함영준 회장 연봉 9억…9000억 삼양식품 김정수 부회장은 20억,매일경제,오뚜기 영업익 11.5% 쑥 역대 최대실적 삼양식품 김정수부회장 급여 2배로 지난해 첫 3조클럽 농심 신동원 회장은 16억 받아 식품기업 오뚜기가 지난해 창사 이래 처음으로 연매출 3조원을 돌파하며 역대 최고...,https://www.mk.co.kr/article/10690787
898,2023.03.21.,"오뚜기 등 3곳, 취약계층 돕기에 '한뜻'...국내 이어 해외로",이지경제,오뚜기는 자회사형 장애인 표준사업장 '오뚜기프렌즈' 직원을 전원 정규직으로 채용해 장애인 고용 및 자립 지원에 나섰다고 21일 밝혔다. 오뚜기프렌즈는 작년 말 20명의 장애인 근로자를 모두 정규직으로 채용했다. 또...,http://www.ezyeconomy.com/news/articleView.html?idxno=122528
899,2023.03.21.,"오뚜기, 지난해 매출 3조원 돌파…창사 53년만에 처음",헤럴드경제,"함영준 오뚜기 회장. [오뚜기 제공] 식품회사 오뚜기가 창사 이래 처음으로 연 매출 3조원을 넘어서며, 이른바 ‘3조 클럽’에 가입했다. 21일 금융감독원 전자공시시스템에 따르면 오뚜기의 지난해...",http://news.heraldcorp.com/view.php?ud=20230321000632
900,2023.03.22.,"오뚜기 ‘오키친스튜디오’, 오픈 1주년…누적 신청자 4000명 돌파",하비엔뉴스,오뚜기는 일반인에게 쿠킹 경험을 제공하는 ‘오키친스튜디오’가 오픈 1주년을 맞았다고 22일 밝혔다.... 오뚜기에서 일반인을 대상으로 쿠킹 경험을 제공하는 ‘오키친스튜디오’. [사진=오뚜기] 지난해 3월23일 첫...,https://hobbyen-news.com/news/view/1065576262686223
901,2023.03.22.,'매출 3조 클럽' 오뚜기… 함영준 회장 지난해 연봉은,머니S언론사 선정,오뚜기가 지난해 처음으로 연매출 '3조 클럽'에 입성한 가운데 함영준 오뚜기 회장이 지난해 약 9억원의 연봉을 수령했다. 21일 금융감독원 전자공시시스템에 따르면 오뚜기의 작년 매출은 3조1833억원으로...,http://moneys.mt.co.kr/news/mwView.php?no=2023032116352230191
902,2023.03.22.,[코스피·코스닥 21일 주요 공시] 오뚜기 지난해 매출 3조 넘어…창립 53년만...,베타뉴스,▲오뚜기가 연 매출 3조원을 넘었다. 연 매출이 3조원을 넘은 것은 1969년 오뚜기 창립 53년 만에 처음이다. 21일 금융감독원 전자공시시스템에 따르면 오뚜기의 작년 매출은 전년보다 16.2% 늘어난...,http://www.betanews.net:8080/article/1400073.html
903,2023.03.22.,"""따듯한 일터 만들 것""···오뚜기프렌즈, 장애인 근로자 전원 정규직 채용",글로벌E,"오뚜기가 자회사형 장애인 표준사업장 '오뚜기프렌즈' 직원 전원을 정규직으로 채용했다. 오뚜기프렌즈는 안정적이고 차별 없는 근무환경을 조성하기 위해 장애인 사원을 위한 지원 체계를 구축하고, 사원들을...",http://www.globale.co.kr/news/articleView.html?idxno=23234
